tabela,categoria_num,categoria,categoria_descricao,n_recurso,recurso,definicao_fundamentacao,exemplos_pb,features_adt,detectabilidade,observacoes_anotacao
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",1,Antífrase,"Dizer o oposto do que se pretende. Kerbrat-Orecchioni (1980, p. 121-122): ""un contenu patent positif"" para ""un contenu latent négatif"".","""Que ótimo dia! Acordei atrasado, perdi o ônibus e choveu."" ""Parabéns pelo ótimo trabalho!"" (sobre trabalho ruim) ""Internet de Limeira, nunca decepciona!"" (durante queda)",palavras_positivas + palavras_negativas,Moderada,Recurso fundacional. Detectável quando há contraste explícito; opaco quando depende de contexto.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",2,Hipérbole irônica,Exagero avaliativo em inversão. Kreuz e Roberts (1995): indicador primário da ironia verbal.,"""Só levei CINCO HORAS para chegar."" ""Estou MORRENDO de vontade de trabalhar no feriado."" ""Todo governante: 3% Lincoln, 97% Pinochet."" (Millôr)",palavras_intensificadoras + caixa_alta_palavras,Moderada,Superlativos e quantificadores extremos cruzados com polaridade do co-texto.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",3,Lítotes irônica,"Atenuação por negação do contrário. Machado: ""onze amigos"" para quem tinha 300 contos.","""Ele não é exatamente um gênio."" ""Não é nada bonito."" (= muito feio) ""Não é ninguém, não senhora, é o padeiro."" (Rubem Braga)",negacao_presente + palavras_negativas,Baixa,Requer detectar que a atenuação é deliberada e inversa.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",4,Eufemismo irônico,Suavização em contexto de gravidade. Contraste forma/referente.,"""Ele faltou à verdade"" (= mentiu em fraude) ""Estudar a geologia dos campos santos"" (= morrer, Machado) ""Passou o surto de gripe"" (= prisão dos editores, O Pasquim)",—,Baixa,Depende de saber a gravidade real da situação.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",5,Aspas irônicas,"Distanciamento tipográfico. Attardo (2000b); Kerbrat-Orecchioni (1978, p. 38).","""Ele era 'amigo' de todos."" ""O PMDB é um partido tão 'pequeno'!"" (ComentCorpus) ""A 'gripezinha' que matou 700 mil.""",— (parsing tipográfico),Alta,Aspas + adjetivo avaliativo = candidato forte. Também marcam citação (ambiguidade).
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",6,Pontuação expressiva,Acúmulo de !!! ??? ... Burgers et al. (2012): marcadores morfossintáticos.,"""Que MARAVILHA!!!"" / ""Sério mesmo???"" ""Ótimo... simplesmente ótimo."" (reticências) ""A Sra. Presidente é tão honesta... Tadinha..."" (ComentCorpus)",num_exclamacao + num_interrogacao + num_reticencias,Alta,Padrões regex. Valor preditivo isolado baixo; alto em combinação.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",7,Maiúsculas enfáticas,Simulação de ênfase prosódica. Burgers et al. (2012): marcador tipográfico. A caixa alta grafa a intensidade da voz.,"""ADOREI o presente, MARAVILHOSO."" ""SIIIIM, adoreeei ficar 3h na fila do SUS."" ""Muito boa essa Data Folha... KKKKK"" (ComentCorpus)",caixa_alta_palavras,Alta,Regex: 3+ maiúsculas consecutivas em palavra não-sigla.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",8,Marcadores de riso digital,"kkk, rsrs, hahaha, ksksks. Específicos do PB. Modulam tonalidade.","""kk"" → deboche sutil / ""kkkkk"" → riso genuíno ""rsrs"" → distanciamento irônico ""ksksks"" → zombaria, desdém ""Ótimo, perdi o horário rsrsrs.""",— (léxico de riso),Moderada,Comprimento da cadeia (kk vs kkkkk) modula significado. Co-ocorrência com avaliativo.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",9,"""Só que não"" (#sqn)","Interjeição delocutiva. Zoppi-Fontana e Oliveira (2016, p. 137): marcador explícito de cancelamento irônico.","""Adoro estudar para provas. #sqn"" ""Ele é confiável, só que não."" Variantes: #SóQueNão, #Soquenao Extensões: ""só que nunca"", ""só que sim"" (Camargo, 2022)",hashtags (#sqn),Alta,Marcador explícito de cancelamento irônico. Altamente preditivo.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",10,"""Tá serto""",Erro ortográfico intencional (c→s). Zoppi-Fontana e Oliveira (2016): criação escrita da internet.,"""O governo vai resolver tudo. Tá serto."" Derivações: ""tá sertinho"", ""tá sertíssimo"" Hashtags: #TaSerto, #Serto",— (léxico específico),Alta,"Detectável por distância de edição com ""tá certo"". Específico do PB."
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",11,Expressões formulaicas,Hedges que anunciam o oposto. Attardo (2000b): meios morfológicos.,"""Com todo o respeito, mas..."" ""Longe de mim falar mal, mas..."" ""Sem querer ofender, mas..."" ""Algo de errado não está certo.""",palavras_modalizadoras,Moderada,Ironia depende de co-texto subsequente que contradiga a fórmula.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",12,Emojis incongruentes,Valência contradiz conteúdo. Thompson e Filik (2016): processamento análogo à ironia verbal.,"🙃 → ""Meu pedido cancelado 🙃"" 🤡 → ""Fui de 🤡"" (= fui ingênuo) 😏 → ""Meu chefe é incrível 😏"" 💀 → reação humorística extrema 💀 substitui kkk (deboche/riso extremo), 💅 (deboche performático)",emojis,Moderada,"Requer léxico de sentimento para emojis (DeepMoji). Na Gen Z, 💀🤡💅🧍 convencionalizaram-se como marcas irônicas."
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",13,Hashtags metalinguísticas,"Comentário explícito sobre a intenção. Freitas et al. (2014): hashtags entre as marcas mais preditivas (precisão de 92,45%).","#ironia / #sarcasmo / #prontofalei / #táserto #ForçaCorona (inversão de apoio, 2020)",hashtags,Alta,Marcador mais explícito. Remove ambiguidade.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",14,Parênteses irônicos,"Comentário parentético que subverte o dito principal. ""Piscadela"" ao leitor cúmplice.","""O candidato apresentou seu plano (bastante ambicioso, para dizer o mínimo)."" Machado: aparte que revela lealdade comprada.",— (parsing),Baixa,Requer análise de relação parentético-principal.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",15,Onomatopeias irônicas,"""Sei"", ""aham"", ""hmmm"", ""tá"", ""blá blá blá"" como marcadores de descrença.","""Tá. Acredito."" (WhatsApp) ""Aham, sei. kkkkk"" ""...conversinha de 'pelsseguido pulíticu' e blá blá blá"" (ComentCorpus)",— (léxico),Moderada,Produtivo em comunicação digital. Co-ocorre com marcadores de riso.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",16,Alongamento vocálico escrito,"Repetição de vogais: ""siiiim"", ""claaaaaro"", ""ameeei"". Prosódia irônica grafada.","""SIIIIM, adoreeei ficar 3h na fila do SUS."" ""Claaaaaro que o metrô vai funcionar."" ""Maravilhoooooso esse atendimento.""","— (regex: vogal{3,})",Moderada,Regex detectável. Frequente em Gen Z. Combina com CAPS.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",17,Interjeições com inversão,"Interjeições positivas em contextos negativos. ComentCorpus: ""Viva a corrupção"" (ex. 6).","""Nossa, como ela é legal!"" (ComentCorpus, ex. 9) ""Viva a decência!"" (sobre indecência) ""Eita, que bonito!"" (sobre algo feio)",— (léxico interjeições),Moderada,Interjeição + contexto negativo = candidato. Produtivo no PB oral-escrito.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",18,Marcadores de citação irônica,"""Diz especialista"", ""segundo o governo"". Mecanismo central da sátira jornalística.","""Onda de calor causada por porta do inferno, diz meteorologia"" (Sensacionalista) ""Genialidade, dizem especialistas"" (livro Sensacionalista, 2016)",— (parsing),Moderada,Produtivo em gêneros satíricos. Cf. mimese irônica e cenografia e ethos (69).
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",19,Mimese irônica,"Imitação de estilo ou formato com intenção crítica, aparentada da paródia (Hutcheon, 1985).","""Caiado só combina com moderado na rima"" (Sensacionalista) Todo formato do Sensacionalista e Piauí Herald O Pasquim: ""jornalismo conotativo"" (Petrola, 2022)",— (classificação de gênero),Moderada,"BAcc 0,92 para notícias satíricas no IDPT 2021. Cf. cenografia e ethos (69)."
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",20,Ponto final hostil,O ponto final em resposta curta sinaliza secura ou insinceridade na comunicação digital. Gunraj et al. (2016): respostas terminadas em ponto são percebidas como menos sinceras.,"""Que ótimo."" / ""Adorei."" (período seco após mensagem breve) ""Ok."" como fechamento hostil ""Legal."" (sobre algo desagradável)",— (regex: ponto final após resposta curta),Moderada,Marca paralinguística do registro digital. Isolado é fraco; ganha força com a brevidade e o co-texto.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",21,Citação comentada irônica,"Reprodução do enunciado alheio (quote, print, resposta citada) exposto ao ridículo. Forma digital da menção ecoica (Sperber e Wilson, 1981) e da heterogeneidade mostrada marcada.","Quote que repete a fala do outro e acrescenta ""aham"" Print seguido de ""olha isso"" ""'vai dar tudo certo', disseram eles.""",— (parsing: citação + moldura avaliativa),Baixa,"Frequente nas redes. A ironia está na moldura que envolve a citação, não na citação em si."
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",22,Negação polêmica,"Ducrot (1987, p. 200-206): confronto E₁/E₂. Indursky (1990): confronto entre FDs antagônicas.","""Não, ele não é corrupto. Só desvia dinheiro por hobby."" ""Dinheiro de corrupção não é grave."" (ComentCorpus) ""Aumentar impostos é fácil, né?"" (ComentCorpus)",negacao_presente,Moderada,Negação + avaliativo: candidato. Ironia depende de reconhecer voz encenada.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",23,Repetição ecoica,"Sperber e Wilson (1981): menção ecoica com atitude dissociativa. Ducrot (1987, p. 197-200).","""Ah, é — 'educação é prioridade'..."" ""'Vai ficar tudo bem', ele disse. Ficou, sim."" ""Conversinha de 'pelsseguido pulíticu'"" (ComentCorpus)",— (detecção de eco),Baixa,Eco explícito (aspas) detectável. Eco implícito requer interdiscurso.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",24,Interrogação retórica,"Pergunta que afirma o contrário. Ducrot: ""modificador desrealizante inversor"".","""Será que dá para ser mais incompetente?"" ""Alguém realmente acredita nisso?"" ""Devemos ser gratos ao PT, não é verdade?"" (ComentCorpus)",num_interrogacao,Moderada,"12,9% das ironias implícitas vs. 4,2% das explícitas usam interrogação (ComentCorpus)."
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",25,Exclamação com inversão,"Elogio exclamativo que é crítica. Ducrot (1987, p. 198): ""Que ótimo!"" como expressão irônica.","""Que bonito, hein! Que cena mais linda!"" (Naiara Azevedo) ""Muito bem! Parabéns!"" (após fracasso) ""Viva a decência!"" (ComentCorpus)",num_exclamacao,Moderada,Exclamação + adjetivo positivo: padrão recorrente.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",26,Tag questions irônicas,"""Né?"", ""viu?"", ""hein?"" — invariáveis no PB. Solicitam cumplicidade irônica.","""Você é esperto, né?"" / ""Adorei, viu?"" ""Bonzão mesmo, hein!"" ""Aumentar impostos é fácil, né?"" (ComentCorpus)",— (léxico tags),Moderada,Entonação descendente (escrita: co-texto negativo) sinaliza função irônica.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",27,Adversativas/concessivas,"""Mas"", ""porém"", ""apesar de"" como quebra de expectativa. Ducrot: tensão polifônica.","""Ele é honesto, MAS é político."" ""Até que se esforçou... mas o resultado foi péssimo."" ""Enquanto o Marechal declarava ordem democrática... tropas cercavam a Assembleia."" (Ponte Preta)",— (parsing),Moderada,Adversativo + inversão avaliativa: candidato.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",28,Paralelismo com quebra,"Série A,B,C...D, onde D viola o padrão. E₁...Eₙ₋₁ constroem; Eₙ destrói.","""Trabalhador, dedicado, competente — e completamente corrupto."" ""Marcela amou-me durante quinze meses e onze contos de réis."" (Machado) ""Minha mulher e eu: ela vai às terças, eu às quintas."" (Veríssimo)",— (análise sequencial),Baixa,Requer modelar trajetória argumentativa da série.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",29,Condicionais irônicas,"""Se P, então Q absurdo"" = reductio ad absurdum. Invalida ironicamente a premissa.","""Se cada um soubesse o que o outro faz, ninguém se cumprimentava."" (Nelson Rodrigues) ""Se o rádio fosse inventado depois da TV, haveria correria a esse aparelho sem imagem."" (Millôr) ""Se ele é honesto, eu sou o Papa.""",— (parsing),Baixa,Condicional + consequência absurda: candidato. Requer avaliação de absurdidade.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",30,Comparações irônicas,Similitude desviante: o comparante revela negatividade oculta.,"""Olhava com a mesma ternura com que um gavião espreita uma pomba."" (Machado) ""Era tão burro que estava com a cara atrasada 5 minutos."" (Quintana) ""Numa melancolia de pinguim no Piauí."" (Ponte Preta)",— (parsing),Baixa,Requer avaliar incongruência do comparante.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",31,Elipse irônica,Omissão deliberada que força conclusão irônica do leitor.,"""Bom e fiel amigo! Não me arrependo das vinte apólices."" (Machado) Cotrim: ""honesto"" → torturava escravos (omitido) ""E foi proclamada a escravidão."" (Ponte Preta)",—,Muito baixa,O que não está dito constitui a ironia. Inacessível por features.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",32,Enumeração com clímax invertido,Gradação ascendente sabotada pelo último elemento.,"""O rico e o pobre... o advogado rouba... e a mulher engana os onze."" (Nelson Rodrigues) ""Pena da galhofa e tinta da melancolia."" (Machado) Ministro que 'explica' reduzindo 5 para 4 anos repetindo o mesmo (Ponte Preta)",—,Baixa,Requer modelar direção argumentativa + ruptura final.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",33,Metalinguagem autofraturante,Narrador que comenta ironicamente a própria narração.,"""Há aí, entre as cinco ou dez pessoas que me lêem..."" (Machado) ""Relendo o capítulo passado, acode-me um escrúpulo..."" (Machado) Gregório de Matos: soneto que gasta versos contando versos",—,Muito baixa,Metadiscurso irônico. Requer análise de níveis narrativos.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",34,Preterição (paralipse),"Afirmar algo declarando que não se vai dizê-lo (Fiorin, 2014). O que se recusa a mencionar é justamente sublinhado.","""Não vou nem comentar o desempenho do governo."" ""Nem preciso dizer como terminou."" ""Deixa quieto o que ele fez ontem.""","— (léxico: ""não vou nem"", ""nem preciso dizer"")",Baixa,"Fórmula parcialmente fixa, detectável por padrão; a ironia depende do co-texto."
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",35,Discurso relatado irônico,"Heterogeneidade mostrada marcada (Authier-Revuz, 2004): a voz do outro é encenada por discurso direto, indireto ou indireto livre, com distância avaliativa. Complementa a heterogeneidade não marcada (item 67).","""Ele disse que 'a culpa é da imprensa', claro."" ""Segundo ele, o problema sou eu."" Discurso indireto livre que imita o pensar alheio",— (parsing: verbos dicendi + aspas/modalização),Baixa,O eco marcado é mais detectável que o não marcado; requer identificar a atitude dissociativa.
2,2,ESTRUTURAS SINTÁTICAS,"CATEGORIA 2 — ESTRUTURAS SINTÁTICAS Construções gramaticais que produzem efeito irônico. Fundamentação: polifonia ducrotiana, teoria ecoica de Sperber e Wilson. Features ADT: interrogação, exclamação, negação.",36,Reduplicação irônica,"Repetição imediata de afirmação ou concordância que, por excesso, sinaliza descrença (Attardo, 2000b: o reforço que se volta contra o dito).","""Sim, claro, claro."" ""Com certeza, com certeza."" ""Aham, tá, tá.""",— (regex: token repetido adjacente),Moderada,A concordância exagerada inverte-se em recusa. Padrão de repetição detectável.
